OBJECTID,Survey_Num,Purpose,WIN,Name_of_Wa,Date,NYTME,NYTMN,Site_Lengt,Total_Of_N,Brook_Trou,Brown_Trou,Rainbow_Tr,POINT_X,POINT_Y
90,488070.00000000000,Steam protection,D-70-45,Huntley Hollow Brook,06/21/88,504932,4659423,150,37,37,0,,-74.94036628160,42.08686914510
91,488070.00000000000,Steam protection,D-70-45,Huntley Hollow Brook,06/21/88,505432,4661723,150,27,27,0,,-74.93429931510,42.10758081430
92,488070.00000000000,Steam protection,D-70-45,Huntley Hollow Brook,06/21/88,505532,4662723,30,12,11,1,,-74.93308033090,42.11658660050
93,488035.00000000000,General biological survey,H-221-4-13,Becker Brook,06/28/88,581533,4736124,200,3,0,3,,-74.00335754620,42.77331588610
94,988015.00000000000,General biological survey,PA-53-51,Twomile Creek,07/01/88,213529,4659520,300,23,23,0,,-78.46076489680,42.03554880360
95,488071.00000000000,Steam protection,H-240-82-142,Red Kill,07/18/88,556332,4672424,40,5,3,2,,-74.31764643950,42.20194790700
96,488071.00000000000,Steam protection,H-240-82-142,Red Kill,07/18/88,556432,4672524,150,3,3,0,,-74.31642550810,42.20284126630
97,788031.00000000000,CROTS survey,H-240-223,Oriskany Creek,07/25/88,461164,4753282,420,95,0,95,,-75.47593525840,42.93117673160
98,388993.00000000000,"Other, see comments",H-139-14,Rondout Creek,07/26/88,548732,4626824,300,6,0,6,,-74.41348388120,41.79177599830
99,388993.00000000000,"Other, see comments",H-139-14,Rondout Creek,07/26/88,551332,4623824,300,1,0,1,,-74.38245245250,41.76459250460
100,788031.00000000000,CROTS survey,H-240-223,Oriskany Creek,07/26/88,459398,4752236,471,160,0,158,2,-75.49750100730,42.92166561920
101,388988.00000000000,Fish kill investigation,NJ-12,Ramapo River,07/27/88,567932,4557723,320,7,0,7,,-74.19020599660,41.16800046010
102,388988.00000000000,Fish kill investigation,NJ-12,Ramapo River,07/27/88,568432,4560823,300,2,0,2,,-74.18389967220,41.19588022280
103,688201.00000000000,Fish kill investigation,ONT-66-11-P26-24-27,Emmons Brook,07/27/88,440632,4798023,413,13,0,13,,-75.73232960060,43.33270888570
104,688201.00000000000,Fish kill investigation,ONT-66-11-P26-24-27,Emmons Brook,07/27/88,441832,4800223,187,9,6,3,,-75.71776157360,43.35261115330
105,688201.00000000000,Fish kill investigation,ONT-66-11-P26-24-27,Emmons Brook,07/27/88,441832,4801823,328,31,31,0,,-75.71793141970,43.36701725590
106,688204.00000000000,Fish kill investigation,ONT-66-11-P26-24-14-9,Point Rock Creek,07/27/88,455932,4810123,400,12,5,7,,-75.54458190310,43.44271082360
107,788031.00000000000,CROTS survey,H-240-223,Oriskany Creek,07/27/88,457011,4750781,494,216,0,214,2,-75.52663644150,42.90843273220
108,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/27/88,451520,4760025,376,50,0,50,,-75.59470142380,42.99134284500
109,488041.00000000000,General biological survey,H-264-10,Nipmoose Brook,07/28/88,629332,4749024,100,37,37,0,,-73.41628718660,42.88286679880
110,688202.00000000000,Pre-reclamation survey,H-240-180,West Canada Creek,07/28/88,498632,4781323,292,46,1,45,,-75.01683405970,43.18467400590
111,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/28/88,451219,4756487,318,24,0,24,,-75.59808475420,42.95946519340
112,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/28/88,451901,4762368,661,2,0,2,,-75.59022989090,43.01246483130
113,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/28/88,452121,4758450,488,21,0,21,,-75.58719437460,42.97719860130
114,488040.00000000000,CROTS survey,H-204-2,Kinderhook Creek,07/29/88,633133,4713124,372,39,1,38,,-73.37820159780,42.55904543900
115,488042.00000000000,General biological survey,H-264-32,Browns Brook,07/29/88,636932,4746924,300,1,0,1,,-73.32377230170,42.86263883850
116,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/29/88,444575,4757179,450,3,0,3,,-75.67960755650,42.96524173450
117,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/29/88,446571,4755428,361,19,0,19,,-75.65496744480,42.94961742370
118,788035.00000000000,CROTS survey,ONT-66-11-P26-25,Oneida Creek,07/29/88,449555,4755974,295,17,0,17,,-75.61843900180,42.95473740560
119,988052.00000000000,Reclassification,PA-63,Conewango Creek,08/01/88,178429,4687920,200,4,0,4,,-78.89956192530,42.27718395000
120,988052.00000000000,Reclassification,PA-63,Conewango Creek,08/01/88,178829,4688420,450,8,0,8,,-78.89499926660,42.28184135500
121,988052.00000000000,Reclassification,PA-63,Conewango Creek,08/01/88,179229,4689420,240,9,0,9,,-78.89071283730,42.29099131070
122,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/08/88,421738,4835842,100,49,11,3,35,-75.97080739990,43.67146416490
123,888004.00000000000,CROTS survey,ONT-66-12-P369-115,Keuka Lake Outlet,08/08/88,335630,4725022,975,1,0,1,,-77.00554993510,42.66011395510
124,888004.00000000000,CROTS survey,ONT-66-12-P369-115,Keuka Lake Outlet,08/08/88,336930,4725622,330,1,0,1,,-76.98986969500,42.66579060940
125,488043.00000000000,General biological survey,H-193-2-31,Unnamed Water,08/09/88,574732,4672224,0,3,3,0,,-74.09481525760,42.19860469770
126,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/09/88,407237,4831842,225,33,0,3,30,-76.14996591880,43.63378616480
127,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/09/88,408831,4832014,225,156,0,1,155,-76.13023823730,43.63553162410
128,988003.00000000000,Special regs evaluation,ONT-117,Genesee River,08/09/88,252030,4675621,2000,6,0,6,,-78.00314590480,42.19344139530
129,988003.00000000000,Special regs evaluation,ONT-117,Genesee River,08/09/88,253430,4673120,2000,19,2,17,,-77.98515371340,42.17138950640
130,988003.00000000000,Special regs evaluation,ONT-117,Genesee River,08/09/88,253730,4671420,4000,1,0,1,,-77.98080800970,42.15619378020
131,488040.00000000000,CROTS survey,H-204-2,Kinderhook Creek,08/10/88,622633,4707124,588,20,0,20,,-73.50735343620,42.50676764410
132,488040.00000000000,CROTS survey,H-204-2,Kinderhook Creek,08/10/88,631633,4710624,600,39,0,39,,-73.39704336030,42.53679688850
133,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/10/88,419504,4833357,150,124,2,7,115,-75.99814442750,43.64885381650
134,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/10/88,420840,4834327,163,56,5,4,47,-75.98172279910,43.65772991000
135,988003.00000000000,Special regs evaluation,ONT-117,Genesee River,08/10/88,253630,4669320,4000,10,0,10,,-77.98112971490,42.13727447860
136,488040.00000000000,CROTS survey,H-204-2,Kinderhook Creek,08/11/88,620333,4705824,680,25,0,24,1,-73.53561246340,42.49542498710
137,488040.00000000000,CROTS survey,H-204-2,Kinderhook Creek,08/11/88,627133,4705624,778,10,0,10,,-73.45293307360,42.49253739850
138,488040.00000000000,CROTS survey,H-204-2,Kinderhook Creek,08/11/88,629533,4708124,600,66,0,66,,-73.42317279100,42.51464564900
139,588018.00000000000,General biological survey,SLC-P5103,Malone Village Pond,08/11/88,556328,4965923,0,13,0,13,,-74.28724187290,44.84449430990
140,688002.00000000000,Centrarchid sampling plan,SL-2-25-2-22,Cedar Lake Stream,08/11/88,481128,4911223,200,2,2,0,,-75.23680031440,44.35403306290
141,688003.00000000000,General biological survey,SL-25-68-10,Spragueville Spring Brook,08/11/88,457329,4901023,200,8,0,8,,-75.53457975160,44.26119684810
142,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/11/88,413945,4832862,169,164,0,3,161,-76.06698532720,43.64377496220
143,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/11/88,420840,4834348,165,152,4,7,141,-75.98172587960,43.65791896720
144,788034.00000000000,Population estimate,ONT-50,Little Sandy Creek,08/12/88,416861,4833896,148,203,0,0,203,-76.03099529680,43.65341538030
145,488045.00000000000,General biological survey,H-204-2-10,Stony Kill,08/16/88,615133,4691324,400,3,0,3,,-73.60178000220,42.36566820480
146,488045.00000000000,General biological survey,H-204-2-10,Stony Kill,08/16/88,619333,4694024,620,22,0,22,,-73.55022996740,42.38934350760
147,488045.00000000000,General biological survey,H-204-2-10,Stony Kill,08/16/88,620833,4696224,100,19,0,19,,-73.53155047340,42.40891840750
148,788001.00000000000,Population estimate,ONT-66-12-29-P193-55,Grout Brook,08/16/88,396031,4734722,150,203,0,0,203,-76.27057874170,42.75797854670
149,788001.00000000000,Population estimate,ONT-66-12-29-P193-55,Grout Brook,08/16/88,396531,4732322,125,206,0,0,206,-76.26403065410,42.73643826420
150,788001.00000000000,Population estimate,ONT-66-12-29-P193-55,Grout Brook,08/17/88,396631,4731622,140,123,0,0,123,-76.26268141570,42.73014941500
151,788001.00000000000,Population estimate,ONT-66-12-29-P193-55,Grout Brook,08/18/88,398031,4731222,120,144,0,0,144,-76.24551192350,42.72673530210
152,788001.00000000000,Population estimate,ONT-66-12-29-P193-55,Grout Brook,08/18/88,398031,4731422,120,155,0,3,152,-76.24554795440,42.72853597980
153,788001.00000000000,Population estimate,ONT-66-12-29-P193-55,Grout Brook,08/18/88,398231,4732922,120,82,0,2,80,-76.24337532970,42.74206759530
154,688204.00000000000,Fish kill investigation,ONT-66-11-P26-24-14-9,Point Rock Creek,08/19/88,456032,4805223,394,11,4,7,,-75.54295177320,43.39859700070
155,688204.00000000000,Fish kill investigation,ONT-66-11-P26-24-14-9,Point Rock Creek,08/19/88,459132,4814923,185,1,0,1,,-75.50539855990,43.48611153400
156,588026.00000000000,"Other, see comments",H-391,Schroon River,08/23/88,606131,4877223,350,7,7,0,,-73.67534645660,44.04049057990
157,588026.00000000000,"Other, see comments",H-391,Schroon River,08/23/88,606431,4876823,300,3,3,0,,-73.67168351140,44.03684670170
158,588027.00000000000,"Other, see comments",H-391-67,Lindsay Brook,08/23/88,605731,4879023,150,12,12,0,,-73.67997782730,44.05675021870
159,588027.00000000000,"Other, see comments",H-391-67,Lindsay Brook,08/23/88,606231,4878223,300,18,18,0,,-73.67389783940,44.04947712730
160,588027.00000000000,"Other, see comments",H-391-67,Lindsay Brook,08/23/88,606431,4878023,300,18,18,0,,-73.67144211110,44.04764792410
161,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,08/30/88,242130,4715520,435,148,0,148,,-78.14071624730,42.54903764120
162,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,08/30/88,243230,4713420,435,145,0,145,,-78.12639513260,42.53051988200
163,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,08/31/88,241130,4716120,435,140,0,140,,-78.15314963600,42.55409862260
164,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,08/31/88,241830,4715620,435,136,0,136,,-78.14440991370,42.54983670760
165,588026.00000000000,"Other, see comments",H-391,Schroon River,09/01/88,603031,4873423,300,6,6,0,,-73.71476802770,44.00672800670
166,588026.00000000000,"Other, see comments",H-391,Schroon River,09/01/88,603931,4873723,300,2,2,0,,-73.70348522790,44.00930154190
167,588026.00000000000,"Other, see comments",H-391,Schroon River,09/01/88,604631,4873623,900,7,5,2,,-73.69477486990,44.00830201630
168,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,09/01/88,239429,4718320,435,118,0,118,,-78.17484162620,42.57330916370
169,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,09/01/88,239729,4717920,525,213,1,212,,-78.17100943410,42.56981355580
170,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,09/02/88,238829,4718620,435,104,0,104,,-78.18227845670,42.57580402610
171,988004.00000000000,Population estimate,ONT-117-104,Wiscoy Creek,09/02/88,239129,4718420,435,147,0,147,,-78.17853711550,42.57410706390
172,388996.00000000000,Population estimate,H-171-52,Birch Creek,09/09/88,543332,4664124,300,72,0,57,15,-74.47572655400,42.12802644840
173,388996.00000000000,Population estimate,H-171-52,Birch Creek,09/09/88,543532,4664124,300,100,0,59,41,-74.47330685470,42.12801536680
174,488052.00000000000,CROTS survey,H-215-3,Muitzes Kill,09/15/88,601833,4707924,225,6,0,6,,-73.76031800140,42.51698821670
175,488052.00000000000,CROTS survey,H-215-3,Muitzes Kill,09/15/88,603833,4706424,400,1,0,1,,-73.73624848950,42.50321677970
176,488052.00000000000,CROTS survey,H-215-3,Muitzes Kill,09/15/88,605133,4703624,300,1,0,1,,-73.72094383380,42.47783102580
177,188009.00000000000,"Other, see comments",LIS-62,Nissequogue River,09/20/88,649533,4523223,400,23,6,14,3,-73.22614690370,40.84642331890
178,188009.00000000000,"Other, see comments",LIS-62,Nissequogue River,09/20/88,649533,4523323,500,44,18,16,10,-73.22612288630,40.84732373420
179,188009.00000000000,"Other, see comments",LIS-62,Nissequogue River,09/20/88,649533,4523423,500,53,22,12,19,-73.22609886770,40.84822414930
180,188009.00000000000,"Other, see comments",LIS-62,Nissequogue River,09/20/88,649633,4523523,300,26,13,8,5,-73.22488908050,40.84910631840
181,188009.00000000000,"Other, see comments",LIS-62,Nissequogue River,09/20/88,649733,4523623,150,24,17,3,4,-73.22367926130,40.84998847410
182,688205.00000000000,Pre-reclamation survey,H-240-144-7,Beaver Brook,09/29/88,517533,4772423,400,28,1,27,,-74.78452832560,43.10432910650
183,788002.00000000000,"Other, see comments",ONT-66-12-43-P212-28-17,Dresserville Creek,10/19/88,389431,4731122,500,313,0,110,203,-76.35051072530,42.72464464590
184,788002.00000000000,"Other, see comments",ONT-66-12-43-P212-28-17,Dresserville Creek,10/19/88,390531,4729922,500,228,0,87,141,-76.33684671530,42.71399857180
185,788003.00000000000,"Other, see comments",ONT-66-12-43-P212-28-29,Hemlock Creek,10/20/88,381831,4723022,500,446,0,181,265,-76.44162323700,42.65059054700
186,788003.00000000000,"Other, see comments",ONT-66-12-43-P212-28-29,Hemlock Creek,10/20/88,382431,4723522,500,280,0,90,190,-76.43440913250,42.65518382230
187,588025.00000000000,"Other, see comments",SLC-32-20-83-P129,Windfall Pond,10/31/88,543930,4912523,0,122,122,0,,-74.44867985930,44.36465182560
188,188012.00000000000,"Other, see comments",BB-177-3,Yaphank Creek,11/02/88,677033,4517623,0,10,10,0,,-72.90170722660,40.79053357240
189,388002.00000000000,Reclassification,H-89-7,Woodbury Creek,12/20/88,574632,4579123,100,3,0,3,,-74.10772639670,41.36015539270
190,388002.00000000000,Reclassification,H-89-7,Woodbury Creek,12/20/88,574932,4579823,300,6,0,6,,-74.10405364540,41.36643212560
