"lat","long","date","waterbody","reach_length(m)","avg_reach_width(m)","method","EBT<140mm","potentially_stocked_EBT","BT<140mm","potentially_stocked_BT","RT<140mm","potentially_s
tocked_RT","Location_Description","Habitat_Comment"
42.1293099,-72.0307869,"10/1/1999","McKinstry Brook",100,NA,"Backpack Shocking",0,3,0,0,0,0,"Upstream of Hill Rd. bridge","Water very dark, poor visibility"
42.1154159,-72.0375062,"10/1/1999","McKinstry Brook",NA,NA,"Backpack Shocking",1,7,0,0,0,0,"Cooper Property","poor visibility"
42.0631471,-72.0643716,"10/5/1999","Hatchet Brook",160,NA,"Backpack Shocking",4,1,0,0,0,0,"Upstream of Dennison Rd. ext. bridge","heavy siltation"
42.3587897,-71.6181075,"8/31/1999","Assabet River",NA,NA,"Barge Shocking",0,0,0,2,0,0,"Field across from Spooky World","muddy bottom, dense stands of Elodea and Potamogeton"
42.1590791,-72.5358863,"4/20/2000","Fuller Brook",110,NA,"Backpack Shocking",1,1,0,1,0,0,"Mouth of Fuller Brook to Shawinigan Dr.","Sampled sandy stretch at mouth between 2 beaver dams ~40m, then the rest of the reach was cobble, boulder & gravel. Many small pool/riffle reaches, few runs, good wooded canopy except under powerlines."
42.1680657,-71.6031677,"7/21/2000","Center Brook",228,NA,"Backpack Shocking",8,1,0,0,0,0,"North of Station Street",""
42.1585379,-71.6074224,"7/7/2000","Center Brook",91,NA,"Backpack Shocking",33,6,0,4,0,0,"Off W .River Street","All wild  EBT , BT stocked"
42.1731901,-71.627312,"7/21/2000","Warren Brook",152,NA,"Backpack Shocking",67,0,0,0,0,0,"North of Route 140","Good efficiency, pools shallow, all EBT wild, wood turtle"
42.5300165,-72.0258905,"6/28/2000","Templeton Brook",91,NA,"Backpack Shocking",1,1,0,0,0,0,"South of Shady Lane","Very tannic; 5 fish observed - all EBT"
42.589252,-72.0368376,"6/28/2000","Bailey Brook",91,NA,"Backpack Shocking",1,2,0,0,0,0,"East side , Bridge Street","Very tannic, All EBT wild"
42.7105832,-72.0857402,"7/20/2000","Tarbell Brook",118,NA,"Backpack Shocking",0,0,0,1,0,0,"South of Harris Street","High deep pools, fair efficiency, BT stocked; poor fish population for habitat quality"
42.690872,-72.2245417,"7/10/2000","East Branch Tully River",63,NA,"Backpack Shocking",0,1,0,0,0,0,"South of Route 68","Old beaver dam upstream of station; stream exposed; water extremely tannic, EBT wild"
42.6838594,-72.2498695,"7/10/2000","Collar Brook",61,NA,"Backpack Shocking",19,2,0,0,0,0,"South of Butterworth Road","Good efficiency, all EBT wild; Slimy  Sculpin still here"
42.6038261,-72.2656979,"7/6/2000","West Brook (2)",38,NA,"Backpack Shocking",2,10,0,2,0,0,"South of Ward Road extension","90% of trout below spring @ approx. 75 meters, EBT wild, BT stocked, good efficiency"
42.6221418,-72.27406,"7/6/2000","West Brook (2)",61,NA,"Backpack Shocking",13,1,0,1,0,0,"South of Wheeler Avenue","Fair efficiency, BT stocked, all EBT wild"
42.6628348,-72.264779,"7/10/2000","West Branch Tully River",92,NA,"Backpack Shocking",4,2,0,0,0,0,"East of Tully Road","Beaver- low head dams, fair efficiency, EBT all wild"
42.591451,-72.2371856,"7/6/2000","Mill Brook (1)",134,NA,"Backpack Shocking",0,1,0,0,0,0,"West of Canal Street","Urban - industry on both sided obvious street runoff problems, trash; water quality apparently o.k."
42.1651757,-72.1421673,"6/27/2000","Freeman's Brook",92,NA,"Backpack Shocking",16,5,0,0,0,0,"South of Webber Rd. @ Sturbridge-Warren Line","No comments entered"
42.058032,-72.184864,"6/26/2000","Stevens Brook",200,NA,"Backpack Shocking",3,4,0,0,0,0,"Upstream of Old Stafford Road","Beavers upstream; locals report no flow n 1999; very tannic"
42.0618848,-72.1620701,"6/21/2000","Stevens Brook",46,NA,"Backpack Shocking",0,0,0,8,0,0,"Mashapaug Road","High water; poor efficiency, rookie crew in training; sample influenced by Hamilton Reservoir just downstream and beaver flowage upstream; one BT probably wild, remainder stocked, 6-10 BT missed"
42.0346009,-72.160299,"6/26/2000","Browns Brook",104,NA,"Backpack Shocking",0,0,0,6,0,0,"Off Maybrook Road","Many crayfish, beavers upstream, BT stocked"
42.0771932,-72.2035924,"7/5/2000","Wales Brook",131,NA,"Backpack Shocking",40,18,0,0,0,0,"South of Holland Road","Moderately high water, good efficiency, all EBT apparently wild. Beavers downstream preclude further sampling"
42.256041,-71.6041321,"7/21/2000","Jackstraw Brook",NA,NA,"Backpack Shocking",2,5,0,0,0,0,"East of Upton Road","All EBT wild; thick cover, fair efficiency sample area limited by heavy cover"
42.3344552,-71.660787,"6/5/2000","Howard Brook",91,NA,"Backpack Shocking",6,6,0,0,0,0,"Downstream of Green Street","Crew from DEP & OAR"
42.5450442,-72.0115961,"8/4/2000","Otter River",NA,NA,"Boat Shocking",0,0,0,0,0,1,"Airport Access","Dark water with only visible fish rising to w/in 2"" of surface"
42.2759802,-71.364326,"8/22/2000","DUG POND",NA,NA,"Boat Shocking",0,0,0,1,0,0,"Gravel  Access Ramp - off West St.","Seine netting done near ramp  yielded no fish; Gillnets set at 6:20pm"
42.488807,-72.7452083,"8/22/2000","Poland Brook",61,NA,"Backpack Shocking",0,2,0,0,0,0,"2nd Bridge before WMA;  shocked upstream at bridge pool","No comments available"
42.5412372,-72.7270538,"8/22/2000","Bear River",110,NA,"Backpack Shocking",11,4,0,0,0,0,"Under electric high voltage electric lines","High water; low efficiency with one pass only"
42.6507947,-72.8666086,"8/8/2000","Maxwell Brook",87,NA,"Backpack Shocking",56,6,0,0,0,0,"Off Maxwell Road","Nothing but salmon and brook trout"
42.67727,-71.75685,"8/7/2000","Willard Brook",91,NA,"Backpack Shocking",1,2,2,1,0,0,"Dirt road off of W.Meadow Rd.","Fast moving - gravel and rubble bottom"
42.6783676,-71.792346,"8/7/2000","Trapfall Brook",99,NA,"Backpack Shocking",10,10,0,0,0,0,"50' ft. above & below bridge crossing off Greenville Rd.","Good flow- recent rains; rocks & rubble slippery at Willard Brook State Park"
42.6586441,-71.7556117,"8/4/2000","Pearl Hill Brook (1)",NA,NA,"Backpack Shocking",0,3,0,0,0,0,"300' Downstream of bridge crossing-below State Park","Deep water-sample reflects upstream beaver dam activity"
42.7002232,-71.7959748,"8/4/2000","Locke Brook",94,NA,"Backpack Shocking",63,12,0,0,0,0,"300' downstream of bridge on Locke Rd.","Rubble and rubble/sand; moderate flow"
42.6934154,-71.8534127,"8/3/2000","Souhegan River (S.B.)",99,NA,"Backpack Shocking",21,3,0,0,0,0,"300' downstream of brook crossing on West Rd.","No comments available"
42.6964631,-71.7546502,"8/2/2000","Mason Brook",122,NA,"Backpack Shocking",4,4,0,0,0,0,"300'above brook crossing on Mason","No comments available; Crew was sleeping"
42.7028567,-71.7670764,"8/2/2000","Walker Brook (1)",61,NA,"Backpack Shocking",0,2,0,0,0,0,"Sample started upstream 350' from brook crossing on Turnpike Rd.","No comments available"
42.161502,-71.1916669,"7/21/2000","Traphole Brook",107,NA,"Backpack Shocking",3,4,19,18,0,0,"Behind Norwood Garden Apts off Plymouth Drive off Summer St. in Norwood; 40' from paved parking lot","Deep pools 2-3' deep, spring-fed brook, well-shaded, excellent trout water, frogs and crayfish common, still a nursery for wild trout and large trout too."
42.482526,-71.4946115,"7/19/2000","Guggins Brook",99,NA,"Backpack Shocking",0,1,0,1,0,0,"Off Liberty Sq. Rd. downstream of bridge - Boxboro","Stocked trout were upstream of road; Lots of crayfish"
42.4980575,-71.2562835,"7/10/2000","Shawsheen River",86,NA,"Backpack Shocking",0,0,0,1,0,0,"Rt. 62   ( Upstream 220')",""
42.512705,-71.1744267,"8/17/2000","MILL POND",NA,NA,"Boat Shocking",0,0,0,0,0,2,"Gravel road; 3/10 mile from water plant off Winter St.","Sampled target species - trout, lmb, ae & b for mercury sampling at Lawrence Lab - Town of Burlington stocks 1000-1500 10-12"" trout annually, town sticker required but not enforced apparently"
42.6610102,-70.9037856,"8/9/2000","Gravely Brook",100,NA,"Backpack Shocking",3,2,0,0,0,0,"Gravely Book Rd.",""
42.1110229,-71.6040646,"8/16/2000","West River",NA,NA,"Boat Shocking",0,0,0,0,0,5,"Harrington Pool to Dam","Very vegetated"
42.723159,-72.8798963,"6/13/2000","Potter Brook",66,NA,"Backpack Shocking",17,3,0,0,0,0,"Downstream of Palmer Rd.","Recent beaver dam breach upstream; attempted to work upstream to Palmer Rd. but battery died"
42.7053601,-72.8746773,"6/13/2000","Tuttle Brook",NA,NA,"Backpack Shocking",5,1,0,0,0,0,"Davis mine road upstream","Began at Davis Mine Rd. and shocked upstream 800-1000'; stopped due to beaver obstruction. Low gradient stream. Boulder 15%, gravel/cobble 60%, sand/fines 25%. Lots of vegetation, small woody debris. Mature canopy."
42.7019426,-72.9279617,"6/14/2000","County Brook",90,NA,"Backpack Shocking",9,1,0,0,0,0,"From Hazelton Road upstream ~200'","Shocked upstream to diversion; stream channel breaks off due to high flow, flagged. Moderate gradient; mature forest canopy. Much LND. Boulder 20%, gravel 30%. Pebble/sand/fines 50%. Small plunge pools and root wad pools. Ave stream width 6'."
42.6823922,-72.9219099,"6/14/2000","County Brook",264,NA,"Backpack Shocking",29,1,0,0,0,0,"Upstream of Zoar Road","Shocked from Rowe Rd. to log Dam barrier at lodge. Nice brook, must dry up some. Culvert downstream from road is barrier. Boulder 20%, Cobble 30%; Gravel 20%, sand/fines 30%. Stream width 20', depth 2'."
42.6518808,-72.9293191,"7/18/2000","Todd Brook",159,NA,"Backpack Shocking",15,4,0,0,0,0,"Along Todd Mtn. Road","A few days after heavy rains; high gradient, many pools and cascades. Probable barrier at mouth of stream preventing access from Deerfield. Good habitat w/ many natural barriers. Mature vegetation but close to road."
42.6666892,-72.9878596,"7/19/2000","Reed Brook",89,NA,"Backpack Shocking",52,0,4,0,0,0,"Below and above Culvert-River Road","Sampled small section of river up to culvert then did ~200' stretch above culvert. YOY's were probably all EBT except those marked as BT."
42.6701489,-72.9927693,"7/19/2000","Whitcomb Brook",100,NA,"Backpack Shocking",55,0,0,0,0,0,"Both up and downstream of River Rd. culvert crossing","Couldn't shock through culvert; decent brook cobble (40%); Gravel (40%); Sand (20%). Small trees and shrubs along banks. Vehicle crossing thru property across brook. Stream width 15', shallow 2' depth. Median flows."
42.628775,-72.8762085,"7/20/2000","Rice Brook (1)",200,NA,"Backpack Shocking",14,6,2,0,0,0,"Riddell Road access-pull over on grass","Rice Brook in Charlemont center; rip rap and chute-like; some structure w/ step pools. Access from Riddell Rd. Clear passage up from Deerfield. Cobble 60%, gravel 40%. 10' wide."
42.6084039,-72.8804594,"7/20/2000","Hawks Brook (2)",100,NA,"Backpack Shocking",34,3,0,0,0,0,"Road just above house above dumping area","Nice high gradient brook; clear water w/many pools and good cover; nice wild brook stream"
42.6248735,-72.8805564,"7/20/2000","Bozrah Brook",30,NA,"Backpack Shocking",7,3,0,0,0,0,"From Deerfield to Dam","Not much at lower end; weed growth on rocks; large cobble boulder substrate. Marginal trout hab. Above road slightly better. Old dam about 400' upstream from mouth. Low flow impediment."
42.7069092,-72.8257543,"7/31/2000","Underwood Brook",200,NA,"Backpack Shocking",8,4,0,0,0,0,"Rt. 8A crossing from breached stone dam upstream","Raining; worked up from old damat dirt road; nice pools good cover"
42.6842996,-72.9441739,"7/13/2000","Steele Brook",120,NA,"Backpack Shocking",40,4,0,0,0,0,"From Tunnel  Rd. upstream including pool bend culvert","Land owned by PG&E; small brook - widthof 5"" probably dries up most years. Cobble 60%, gravel 20%, Boulder 20%. Mature forest canopy, moderate gradietn, small plunge pools and undercut banks."
42.6750899,-72.7737212,"8/2/2000","Taylor Brook (1)",150,NA,"Backpack Shocking",58,10,0,0,0,0,"Chapter 90 work, Taylor Brook Rd.","High gradient stream near road washout; substrate cobble/boulder, plunge pools, riffles. Stream width 19'. Many stoneflies. Mature canopy. Rocky banks. Above ave. flow."
42.6795349,-72.7851235,"8/2/2000","Kinsman Brook",NA,NA,"Backpack Shocking",22,2,0,0,0,0,"From Road crossing upstream at washout- log dam","Area near washout, left bank; rip-rapped in lower section; heavy willow trees on other side"
42.6750486,-72.9956047,"8/3/2000","Cascade Brook",NA,NA,"Backpack Shocking",15,6,0,0,0,0,"Along Hoosic tunnel","Either conductivity is high or new battery is acting up"
42.6184651,-72.7894347,"8/7/2000","Third Brook",144,NA,"Backpack Shocking",17,2,1,0,0,0,"From fenceline upstream","Lower portion is pasture; Active livestock eroded banks, no cover, wide streambed 5' wide. Culvert above pasture is major barrier, section above also grazed. Has mature canopy. Very few fish caught in this section. Culvert from Deerfield is partial barrier, <2'."
42.6163438,-72.8275885,"8/7/2000","First Brook",135,NA,"Backpack Shocking",69,4,0,0,0,0,"From River Rd.","High gradient stream. Boulders ledge pools. LWD. Clean. Boulder cobble gravel substrate. Full canopy cover and stable rocky banks. Mature veg. Ave width 15' varies. Riffle depth <1'. Max pool depth 3'."
42.6069621,-72.805968,"8/1/2000","UNT to Second Brook",70,NA,"Backpack Shocking",43,7,0,0,0,0,"From Charlemont upstream","Road culvert is upstream barrier; EBT looked fat and healthy; boulder/gravel substrate, good spawning & hodling hab. Ledge pools, large woody debris, good mature canopy."
42.6647836,-72.9701633,"8/8/2000","Bear Swamp Outflow",40,NA,"Backpack Shocking",59,0,3,0,0,0,"","Bearswamp outlet accessed from track; all yoy trout caught below stag. Cascading falls. Must be reproduction in main Deerfield to that point. Gravel/cobblein lower stretch. Steep high gradient above tracks. Culvert is semi-passable."
42.5954646,-72.7607965,"8/9/2000","Clark Brook",80,NA,"Backpack Shocking",46,9,0,0,0,2,"From E.Buckland Rd. crossing upstream","Nice moderate gradient stream; cobble/gravel, nice undercut banks, root wads. Wider stream above 20+ feet wide up to small access beach. Wild Rainbow Trout. Cobble 30%, Gravel 40%, fines/sand 30%. Mature canopy."
42.6044049,-72.8425076,"8/9/2000","Albee Brook",65,NA,"Backpack Shocking",27,1,0,0,0,0,"Upper stretch from Dodge Rd. up to junk truck & natural log dam","High gradient; large ledge pools; boulders; clean water, lots of LWD. Pool riffle hab. Beautiful high gradient river at medium flows."
42.6615517,-72.8531001,"8/25/2000","Mill Brook (2)",NA,NA,"Backpack Shocking",53,3,0,0,0,0,"Large pulloff just after Heath/Charlemont line","Very high flow; just salmon & brookies;"
42.70193,-72.91613,"8/31/2000","Rice Brook (2)",75,NA,"Backpack Shocking",8,1,2,0,0,0,"Small pulloff","Logging road by telephone pole"
42.6426527,-72.9497495,"8/31/2000","Cold River",99,NA,"Backpack Shocking",0,0,0,3,0,0,"Large picnic area","Flow a bit high but water clear"
42.6986527,-72.9051629,"7/10/2000","Shipee Brook",84,NA,"Backpack Shocking",63,4,0,0,0,0,"Downstream from Hazelton Road","Access through property below private pond; creek reportedly dried up last year"
42.6179162,-72.8420912,"8/9/2000","Albee Brook",84,NA,"Backpack Shocking",14,4,0,0,0,0,"From river upstream through culvert and bridge","From Deerfield up under tracks to southside road crossing; good canopy cover, shrubs debris in brook, cobble mostly. Upstream passage not good during low flow. Not much in first section near road."
42.5935805,-72.0470915,"8/24/2000","Otter River",86,NA,"Barge Shocking",0,0,0,4,0,0,"East & West of Hamlet Mill Rd.","Deep station; turbidity reduced efficiency, generally poor;"
42.6171939,-72.3951793,"8/30/2000","Keyup Brook",61,NA,"Backpack Shocking",63,8,0,0,0,0,"Worked n. of bridge to park","Lots of nice EBT; one eel ~24"" not collected; water flow ok"
42.7312506,-72.6756819,"8/9/2000","Green River (1)",69,NA,"Backpack Shocking",0,0,1,0,0,0,"Just S. of VT. Border","Flow was high for season"
42.6801031,-72.7390873,"8/29/2000","West Branch North River",50,NA,"Backpack Shocking",0,2,2,1,0,0,"Confluence@Taylor Brook",""
42.6070137,-72.3595536,"8/30/2000","Moss Brook",137,NA,"Backpack Shocking",0,1,0,0,0,0,"Tree across brook s. of bridge","None given by this crew"
42.532012,-72.699246,"8/31/2000","South River",122,NA,"Backpack Shocking",0,1,0,0,0,0,"Commune winery ford, above","None given"
42.6838541,-72.0834401,"9/8/2000","Millers River",97,NA,"Barge Shocking",0,0,0,1,0,0,"South of Royalston Rd.","Strong sewage smell; 200 yds. Below treatment plant; few pools"
42.6587925,-72.0916838,"9/8/2000","Millers River",135,NA,"Barge Shocking",0,0,0,3,0,0,"Off McLaughlin Trail","All BT stocked; newts present"
42.5470057,-72.7452455,"8/23/2000","Sids Brook",100,NA,"Backpack Shocking",35,13,0,0,0,0,"Persick Road crossing upstream, including the pool at the base of the culvert downstream","Heavy overgrowth in early sections, widens out upstream"
42.6234174,-72.179887,"9/18/2000","Gulf Brook",130,NA,"Backpack Shocking",28,2,0,0,0,0,"Confluence of Millers River",""
42.6050383,-72.1245026,"9/18/2000","Beaver Brook (2)",NA,NA,"Backpack Shocking",5,1,0,0,0,0,"Fernald School - north of ""private road""","Stream high, fair efficiency, sampled within Fernald School, all EBT wild"
42.6751031,-72.1135851,"8/31/2000","Priest Brook",134,NA,"Barge Shocking",0,0,0,14,0,0,"Birch Hill","Nice area, all EBT stocked"
42.6458765,-72.2565424,"8/30/2000","West Branch Tully River",148,NA,"Barge Shocking",0,2,0,1,0,0,"North of Tully Road","Deep section, intermittent shocking, poor efficiency, all trout apparently stocked"
42.23261816,-72.33409453,"11/6/1998","Swift River",NA,NA,"Boat Shocking",0,0,0,0,0,4,"started at Bondsville I and continued to just north of red bridge","Fish were very localized, Many of the big LMB's were caught in a 50 meter stretch.  Saw one school of about 50 white suckers (10-18"") at one location"
42.20667,-72.35381,"10/28/1998","Swift River",100,NA,"Backpack Shocking",0,0,0,1,0,0,"Dublin Steel access","Very poor efficiency, wide, fairly deep section with riffle at top and bottom of reach.  Fairly impossible to capture trout or other large fish."
42.2158112,-72.3460312,"10/26/1998","Swift River",100,NA,"Backpack Shocking",1,3,0,0,0,0,"Started 169m downstream of Bondsville I, shocked up to Dam Pool","Very wide stretch, not very effective in pool section. Shocked only one (road)side of pool section (first 60m of section). Zig-zagged in riffle section below dam pool. All trout in riffle below dam pool. Heavy beaver activity, 20 felled trees to 12"" diameter."
42.21391,-71.6508896,"9/8/1998","Miscoe Brook (2)",60,NA,"Backpack Shocking",1,0,0,0,0,0,"Downstream of George Hill Road","Very shallow, rocky, some riffle, touched the edge of the bridge pool.  Got the EBT in the riffle just below the bridge."
42.180972,-71.6474767,"9/8/1998","West River",100,NA,"Backpack Shocking",0,0,0,2,0,0,"Downstream or route 140, Behind Precision Paving, between two bridges",""
42.691864,-71.5905304,"9/21/1998","Nissitissit River",115,NA,"Backpack Shocking",0,0,0,3,0,0,"Start downstream of Prescott Street","Rubble Bottom, good overhead canopy, mostly riffle habitat with pool last 50 meters before bridge.  Very inefficient pick-up - many fallfish uncaptured.  Stream very low - fish concentrated, most of stretch < 1 foot deep."
42.6675968,-71.7086771,"9/21/1998","Squannacook River",66,NA,"Backpack Shocking",0,0,2,3,0,0,"Route 13 behind the feed store, sampled riffle below dam skirt and dam skirt","We sampled only the riffle/rock stretchbelow the dam downstream of the route13/119 intersection behind the feed store (not the trestle dam log jam)"
42.6613362,-71.7077118,"9/21/1998","Squannacook River",198,NA,"Backpack Shocking",1,1,2,3,0,0,"Downstream of Route 13","Beaver dams, sand, gravel, pushed lots of fish without capture.  Very inefficient sample.  Spot-shocked the cover and woody debris."
42.6315123,-71.6547514,"9/21/1998","Squannacook River",100,NA,"Backpack Shocking",0,0,0,4,0,0,"Off Townsend Road, W. Groton, end of dirt access road in Groton Conservation Area","Boulders, ledge, and rubble - weed covered (slippery).  Partly open canopy, tall trees on shoreline. 8-24"" deep stretch, lots of fallfish, frogs, crayfish"
42.6976091,-71.6094082,"9/21/1998","Sucker Brook",90,NA,"Backpack Shocking",0,3,0,4,0,0,"Junction of Sucker Brook and Nissitissit","Sampled a small stretch of the Niss, then turned up Sucker Brook.  The stream was loaded with cyprinids and catastomids, literally thousands of them. All trout sampled came from Sucker Brook."
42.2103276,-72.3466139,"10/28/1998","Swift River",NA,NA,"Backpack Shocking",0,1,0,2,0,0,"Shocked up to but not including Bondsville II",""
42.0403373,-71.5151662,"8/5/1998","Mill River",NA,NA,"Backpack Shocking",0,0,0,2,0,0,"Downstream of Summer Street",""
42.1499643,-71.6163794,"8/4/1998","West River",NA,NA,"Backpack Shocking",0,0,0,3,0,0,"Upstream of West River Street","White pine/red maple canopy, dogwood, alder, ivy shrub cover, aquatic plant: sparganium, callictryche, ceratophylum, rock mosses"
42.07867,-71.70558,"8/4/1998","Mumford River",NA,NA,"Backpack Shocking",0,4,0,0,0,0,"Upstream of Gilboa Pond",""
42.5684829,-71.2150876,"9/11/1998","Shawsheen River",120,NA,"Backpack Shocking",0,0,0,0,0,1,"Downstream of 129 from 144 meters downstream of abandoned bridge abutment to abutment","Start of stretch was sand/silt bottom with enclosed canopy, upper portion of reacg was stone/rubble bottom with open canopy.  Stream width almost doubled from downstream to upstream."
42.20868,-72.35011,"11/9/1998","Swift River",NA,NA,"Backpack Shocking",0,0,0,1,0,0,"Quabog Transfer","Shallow riffle section, few 18' deep pools but otherwise very shallow"
41.3774235,-70.7430835,"6/19/2000","Roaring Brook",91,NA,"Backpack Shocking",44,8,0,0,0,0,"Up from Beach",""
41.3748705,-70.7417627,"6/19/2000","Roaring Brook",72,NA,"Backpack Shocking",42,16,0,0,0,0,"Between two bridges, ending at ""Roaring Brook Construction"" - 111 Gosnold's Lane",""
42.592594,-72.761168,"8/18/2000","Hog Hollow Brook",80,NA,"Backpack Shocking",38,5,0,0,0,0,"Up 325' from Clark Brook confluence","Tributary to Clark Brook.Forested, moderate gradient stream.Good habitat, plunge pools, lateral scour pools.  Not many fish, some YOY but not as many as expected.  Also many of the fish smaller than predicted by habitat.River seems to have moved sediment recently."
42.5576096,-72.7416802,"8/21/2000","Drakes Brook",80,NA,"Backpack Shocking",12,9,0,1,0,0,"Upstream of Baptist Road crossing","Some of the nicest trout in the area.  Good plunge pools, nice bank buffer from pasture"
42.5364008,-72.7426097,"8/22/2000","Bear River",60,NA,"Backpack Shocking",41,6,6,0,0,0,"Upstream of Persick Road","Nice river, clean gravel substrate, some cobble.  Box culvert at road is partial barrier"
42.5082522,-72.7767124,"8/22/2000","Creamery Brook",95,NA,"Backpack Shocking",50,10,6,4,0,0,"Upstream of Williams Road Crossing","Good habitat, corner scour pools, solid banks, mature vegetation.  Impressive-looking EBT stream. 5-15' wide, clean gravel, cobble"
42.4822089,-72.7609123,"8/23/2000","Chapel Brook",80,NA,"Backpack Shocking",42,19,0,0,0,0,"Upstream of Williamsburg Road Crossing","Stream flows through trustees of reservation lands.  Lots of ledge, large boulders, cascade just downstream of crossing."
42.5597968,-72.9227404,"8/28/2000","Basin Brook",85,NA,"Backpack Shocking",11,2,0,0,0,0,"Downstream of Hallockville Road","Lots of old beaver activity.  70% Gravel/pebble substrate, 30% fines.  Woody shrubs on both banks, decent shading, not many mature trees, some aquatic vegetation"
42.5914021,-72.940028,"8/28/2000","North Brook",90,NA,"Backpack Shocking",14,0,0,0,0,0,"Upstream of West Hill Road","Clear water. Nice habitat, plunge pools, 40% boulder, 40% gravel, 20% cobble.  Has seen high flows recently.Sterile, not many fish, large falls just downstream of sample reach."
42.6439122,-72.0878846,"9/28/2000","DENISON LAKE",NA,NA,"Boat Shocking",0,0,0,0,0,1,"","All trout recently stocked, about 1/2 w.s. picked up, good efficiency, YOY B., G.S. common, few YOY LMB, good all around LMB population"
42.597265,-72.2343922,"8/30/2000","Millers River",75,NA,"Barge Shocking",0,0,0,0,0,1,"Fish Park","Too wide, 75% of river shocked, fair efficiency, 3 large BT missed.  Good SMB habitat and population"
42.608148,-72.2418641,"8/30/2000","Tully River",NA,NA,"Barge Shocking",0,0,0,2,0,0,"Athol Conservation Area","All BT stocked, good habitat (all run), end at riffle"
42.7091889,-72.3488196,"9/29/2000","Kidder Brook",108,NA,"Backpack Shocking",14,5,0,0,0,0,"Downstream of Robbins Road Bridge","Quick survey done to coincide with flash fllod bridge washout remediation advisory"
42.5601478,-72.9474679,"8/23/2000","King Brook",152,NA,"Backpack Shocking",16,8,0,0,0,0,"Along Route 8A upstream of crossing","Original Cover Sheet Lost, Collected half of dace in stream"
42.6860564,-73.0109898,"9/6/2000","Cascade Brook",100,NA,"Backpack Shocking",59,4,0,0,0,0,"Upstream of Monroe Road Crossing","Upper position of Cascade Brook before flows down by tunnel. Access upstream of road, below is private land."
41.7357237,-70.862415,"9/19/2000","Mattapoisett River",125,NA,"Backpack Shocking",0,0,0,7,0,0,"Downstream of Route 105",""
42.2759802,-71.364326,"8/22/2000","DUG POND",NA,NA,"Gillnet",0,0,0,2,0,0,"Gravel  Access Ramp - off West St.",""
42.6805183,-72.7419041,"9/7/2000","West Branch North River",87,NA,"Backpack Shocking",1,1,3,0,0,0,"",""
42.643013,-72.9907049,"9/1/2000","Manning Brook",NA,NA,"Backpack Shocking",35,5,0,0,0,0,"From pull off below County Road, Western side down path","Lots of LWD, plunge pools, 50% boulder, 10% cobble, 40% gravel.  Strange brook trout captured with no spots, no vermiculations.  Deep gorge, heavily forested with mature hemlock, etc."
42.582599,-72.8168414,"8/16/2000","Sheperd Brook",86.5,NA,"Backpack Shocking",53,8,0,0,0,0,"",""
42.584775,-72.8326251,"8/16/2000","Ruddock Brook",61,NA,"Backpack Shocking",29,5,0,0,1,0,"From Clesson Road Upstream","Lot of sand sediment, high degree of embeddedness"
