Basin,Stem,Station,Date,Species,Average,Minimum,Maximum,Body,Town,Latitude,Longitude,,,,,,
6,0,2,950530,yperch,167.6,132,272,Olney Pond,Lincoln,41.89006,-71.43239,,,,,,
6,0,3,950727,brktrt,116.8,74,162,Moshassuck R/Louisquisset Pike,Lincoln,41.91987,-71.45651,,,,,,
6,0,4,950719,brktrt,249.5,232,267,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,4,950719,eel,160.0,160,160,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,4,950719,lmb,129.0,129,129,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,4,950719,lngndc,76.7,30,113,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,4,950719,rdfnpick,123.1,78,162,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,4,950719,tssdtr,69.0,69,69,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,4,950719,wtsuck,37.3,30,43,Moshassuck R/Sherman Rd,Lincoln,41.92137,-71.45232,,,,,,
6,0,5,950724,chnpick,111.0,111,111,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950724,crkchbskr,82.0,82,82,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950724,eel,0.0,52,457,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950724,gldshnr,90.0,87,93,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950724,lngndc,86.2,28,134,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950724,tssdtr,57.2,42,74,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950724,wtsuck,150.3,123,202,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,5,950725,rdfnpick,172.0,172,172,Moshassuck R/Breakneck Hill Rd,Lincoln,41.90542,-71.42935,,,,,,
6,0,6,950724,eel,316.0,186,381,Moshassuck R/Mineral Spring Ave,Pawtucket,41.87222,-71.40804,,,,,,
6,0,6,950724,tssdtr,39.2,25,62,Moshassuck R/Mineral Spring Ave,Pawtucket,41.87222,-71.40804,,,,,,
6,0,6,950724,wtsuck,63.9,32,138,Moshassuck R/Mineral Spring Ave,Pawtucket,41.87222,-71.40804,,,,,,
6,0,7,950725,blgl,53.5,46,61,West R/Twin River Rd,Smithfield,41.88028,-71.47139,,,,,,
6,0,7,950725,rdfnpick,127.5,115,135,West R/Twin River Rd,Smithfield,41.88028,-71.47139,,,,,,
6,0,8,950810,blgl,49.7,29,90,West R/Mineral Spring Ave,North Providence,41.86386,-71.45139,,,,,,
6,0,8,950810,blkndce,42.9,26,63,West R/Mineral Spring Ave,North Providence,41.86386,-71.45139,,,,,,
6,0,8,950810,lmb,84.3,52,120,West R/Mineral Spring Ave,North Providence,41.86386,-71.45139,,,,,,
6,0,8,950810,lngndc,72.5,33,100,West R/Mineral Spring Ave,North Providence,41.86386,-71.45139,,,,,,
6,0,8,950810,tssdtr,47.0,30,65,West R/Mineral Spring Ave,North Providence,41.86386,-71.45139,,,,,,
6,0,8,950810,wtsuck,59.2,35,208,West R/Mineral Spring Ave,North Providence,41.86386,-71.45139,,,,,,
6,0,9,950809,blgl,19.0,19,19,Tributary/West R./Angell Rd,North Providence,41.86952,-71.44431,,,,,,
6,0,9,950809,eel,310.0,310,310,Tributary/West R./Angell Rd,North Providence,41.86952,-71.44431,,,,,,
6,0,9,950809,lmb,64.5,63,66,Tributary/West R./Angell Rd,North Providence,41.86952,-71.44431,,,,,,
6,0,9,950809,pmpknsd,102.0,100,104,Tributary/West R./Angell Rd,North Providence,41.86952,-71.44431,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
